1,3,88.6,168.8,64.1,48.8,2548
2,3,88.6,168.8,64.1,48.8,2548
3,1,94.5,171.2,65.5,52.4,2823
4,2,99.8,176.6,66.2,54.3,2337
5,2,99.4,176.6,66.4,54.3,2824
6,2,99.8,177.3,66.3,53.1,2507
7,1,105.8,192.7,71.4,55.7,2844
8,1,105.8,192.7,71.4,55.7,2954
9,1,105.8,192.7,71.4,55.9,3086
10,0,99.5,178.2,67.9,52,3053
11,2,101.2,176.8,64.8,54.3,2395
12,0,101.2,176.8,64.8,54.3,2395
13,0,101.2,176.8,64.8,54.3,2710
14,0,101.2,176.8,64.8,54.3,2765
15,1,103.5,189,66.9,55.7,3055
16,0,103.5,189,66.9,55.7,3230
17,0,103.5,193.8,67.9,53.7,3380
18,0,110,197,70.9,56.3,3505
19,2,88.4,141.1,60.3,53.2,1488
20,1,94.5,155.9,63.6,52,1874
21,0,94.5,158.8,63.6,52,1909
22,1,93.7,157.3,63.8,50.8,1876
23,1,93.7,157.3,63.8,50.8,1876
24,1,93.7,157.3,63.8,50.8,2128
25,1,93.7,157.3,63.8,50.6,1967
26,1,93.7,157.3,63.8,50.6,1989
27,1,93.7,157.3,63.8,50.6,1989
28,1,93.7,157.3,63.8,50.6,2191
29,-1,103.3,174.6,64.6,59.8,2535
30,3,95.9,173.2,66.3,50.2,2811
31,2,86.6,144.6,63.9,50.8,1713
32,2,86.6,144.6,63.9,50.8,1819
33,1,93.7,150,64,52.6,1837
34,1,93.7,150,64,52.6,1940
35,1,93.7,150,64,52.6,1956
36,0,96.5,163.4,64,54.5,2010
37,0,96.5,157.1,63.9,58.3,2024
38,0,96.5,167.5,65.2,53.3,2236
39,0,96.5,167.5,65.2,53.3,2289
40,0,96.5,175.4,65.2,54.1,2304
41,0,96.5,175.4,62.5,54.1,2372
42,0,96.5,175.4,65.2,54.1,2465
43,1,96.5,169.1,66,51,2293
44,0,94.3,170.7,61.8,53.5,2337
45,1,94.5,155.9,63.6,52,1874
46,0,94.5,155.9,63.6,52,1909
47,2,96,172.6,65.2,51.4,2734
48,0,113,199.6,69.6,52.8,4066
49,0,113,199.6,69.6,52.8,4066
50,0,102,191.7,70.6,47.8,3950
51,1,93.1,159.1,64.2,54.1,1890
52,1,93.1,159.1,64.2,54.1,1900
53,1,93.1,159.1,64.2,54.1,1905
54,1,93.1,166.8,64.2,54.1,1945
55,1,93.1,166.8,64.2,54.1,1950
56,3,95.3,169,65.7,49.6,2380
57,3,95.3,169,65.7,49.6,2380
58,3,95.3,169,65.7,49.6,2385
59,3,95.3,169,65.7,49.6,2500
60,1,98.8,177.8,66.5,53.7,2385
61,0,98.8,177.8,66.5,55.5,2410
62,1,98.8,177.8,66.5,53.7,2385
63,0,98.8,177.8,66.5,55.5,2410
64,0,98.8,177.8,66.5,55.5,2443
65,0,98.8,177.8,66.5,55.5,2425
66,0,104.9,175,66.1,54.4,2670
67,0,104.9,175,66.1,54.4,2700
68,-1,110,190.9,70.3,56.5,3515
69,-1,110,190.9,70.3,58.7,3750
70,0,106.7,187.5,70.3,54.9,3495
71,-1,115.6,202.6,71.7,56.3,3770
72,-1,115.6,202.6,71.7,56.5,3740
73,3,96.6,180.3,70.5,50.8,3685
74,0,120.9,208.1,71.7,56.7,3900
75,1,112,199.2,72,55.4,3715
76,1,102.7,178.4,68,54.8,2910
77,2,93.7,157.3,64.4,50.8,1918
78,2,93.7,157.3,64.4,50.8,1944
79,2,93.7,157.3,64.4,50.8,2004
80,1,93,157.3,63.8,50.8,2145
81,3,96.3,173,65.4,49.4,2370
82,3,96.3,173,65.4,49.4,2328
83,3,95.9,173.2,66.3,50.2,2833
84,3,95.9,173.2,66.3,50.2,2921
85,3,95.9,173.2,66.3,50.2,2926
86,1,96.3,172.4,65.4,51.6,2365
87,1,96.3,172.4,65.4,51.6,2405
88,1,96.3,172.4,65.4,51.6,2403
89,-1,96.3,172.4,65.4,51.6,2403
90,1,94.5,165.3,63.8,54.5,1889
91,1,94.5,165.3,63.8,54.5,2017
92,1,94.5,165.3,63.8,54.5,1918
93,1,94.5,165.3,63.8,54.5,1938
94,1,94.5,170.2,63.8,53.5,2024
95,1,94.5,165.3,63.8,54.5,1951
96,1,94.5,165.6,63.8,53.3,2028
97,1,94.5,165.3,63.8,54.5,1971
98,1,94.5,170.2,63.8,53.5,2037
99,2,95.1,162.4,63.8,53.3,2008
100,0,97.2,173.4,65.2,54.7,2324
101,0,97.2,173.4,65.2,54.7,2302
102,0,100.4,181.7,66.5,55.1,3095
103,0,100.4,184.6,66.5,56.1,3296
104,0,100.4,184.6,66.5,55.1,3060
105,3,91.3,170.7,67.9,49.7,3071
106,3,91.3,170.7,67.9,49.7,3139
107,1,99.2,178.5,67.9,49.7,3139
108,0,107.9,186.7,68.4,56.7,3020
109,0,107.9,186.7,68.4,56.7,3197
110,0,114.2,198.9,68.4,58.7,3230
111,0,114.2,198.9,68.4,58.7,3430
112,0,107.9,186.7,68.4,56.7,3075
113,0,107.9,186.7,68.4,56.7,3252
114,0,114.2,198.9,68.4,56.7,3285
115,0,114.2,198.9,68.4,58.7,3485
116,0,107.9,186.7,68.4,56.7,3075
117,0,107.9,186.7,68.4,56.7,3252
118,0,108,186.7,68.3,56,3130
119,1,93.7,157.3,63.8,50.8,1918
120,1,93.7,157.3,63.8,50.8,2128
121,1,93.7,157.3,63.8,50.6,1967
122,1,93.7,167.3,63.8,50.8,1989
123,1,93.7,167.3,63.8,50.8,2191
124,-1,103.3,174.6,64.6,59.8,2535
125,3,95.9,173.2,66.3,50.2,2818
126,3,94.5,168.9,68.3,50.2,2778
127,3,89.5,168.9,65,51.6,2756
128,3,89.5,168.9,65,51.6,2756
129,3,89.5,168.9,65,51.6,2800
130,1,98.4,175.7,72.3,50.5,3366
131,0,96.1,181.5,66.5,55.2,2579
132,2,96.1,176.8,66.6,50.5,2460
133,3,99.1,186.6,66.5,56.1,2658
134,2,99.1,186.6,66.5,56.1,2695
135,3,99.1,186.6,66.5,56.1,2707
136,2,99.1,186.6,66.5,56.1,2758
137,3,99.1,186.6,66.5,56.1,2808
138,2,99.1,186.6,66.5,56.1,2847
139,2,93.7,156.9,63.4,53.7,2050
140,2,93.7,157.9,63.6,53.7,2120
141,2,93.3,157.3,63.8,55.7,2240
142,0,97.2,172,65.4,52.5,2145
143,0,97.2,172,65.4,52.5,2190
144,0,97.2,172,65.4,52.5,2340
145,0,97,172,65.4,54.3,2385
146,0,97,172,65.4,54.3,2510
147,0,97,173.5,65.4,53,2290
148,0,97,173.5,65.4,53,2455
149,0,96.9,173.6,65.4,54.9,2420
150,0,96.9,173.6,65.4,54.9,2650
151,1,95.7,158.7,63.6,54.5,1985
152,1,95.7,158.7,63.6,54.5,2040
153,1,95.7,158.7,63.6,54.5,2015
154,0,95.7,169.7,63.6,59.1,2280
155,0,95.7,169.7,63.6,59.1,2290
156,0,95.7,169.7,63.6,59.1,3110
157,0,95.7,166.3,64.4,53,2081
158,0,95.7,166.3,64.4,52.8,2109
159,0,95.7,166.3,64.4,53,2275
160,0,95.7,166.3,64.4,52.8,2275
161,0,95.7,166.3,64.4,53,2094
162,0,95.7,166.3,64.4,52.8,2122
163,0,95.7,166.3,64.4,52.8,2140
164,1,94.5,168.7,64,52.6,2169
165,1,94.5,168.7,64,52.6,2204
166,1,94.5,168.7,64,52.6,2265
167,1,94.5,168.7,64,52.6,2300
168,2,98.4,176.2,65.6,52,2540
169,2,98.4,176.2,65.6,52,2536
170,2,98.4,176.2,65.6,52,2551
171,2,98.4,176.2,65.6,52,2679
172,2,98.4,176.2,65.6,52,2714
173,2,98.4,176.2,65.6,53,2975
174,-1,102.4,175.6,66.5,54.9,2326
175,-1,102.4,175.6,66.5,54.9,2480
176,-1,102.4,175.6,66.5,53.9,2414
177,-1,102.4,175.6,66.5,54.9,2414
178,-1,102.4,175.6,66.5,53.9,2458
179,3,102.9,183.5,67.7,52,2976
180,3,102.9,183.5,67.7,52,3016
181,-1,104.5,187.8,66.5,54.1,3131
182,-1,104.5,187.8,66.5,54.1,3151
183,2,97.3,171.7,65.5,55.7,2261
184,2,97.3,171.7,65.5,55.7,2209
185,2,97.3,171.7,65.5,55.7,2264
186,2,97.3,171.7,65.5,55.7,2212
187,2,97.3,171.7,65.5,55.7,2275
188,2,97.3,171.7,65.5,55.7,2319
189,2,97.3,171.7,65.5,55.7,2300
190,3,94.5,159.3,64.2,55.6,2254
191,3,94.5,165.7,64,51.4,2221
192,0,100.4,180.2,66.9,55.1,2661
193,0,100.4,180.2,66.9,55.1,2579
194,0,100.4,183.1,66.9,55.1,2563
195,-2,104.3,188.8,67.2,56.2,2912
196,-1,104.3,188.8,67.2,57.5,3034
197,-2,104.3,188.8,67.2,56.2,2935
198,-1,104.3,188.8,67.2,57.5,3042
199,-2,104.3,188.8,67.2,56.2,3045
200,-1,104.3,188.8,67.2,57.5,3157
201,-1,109.1,188.8,68.9,55.5,2952
202,-1,109.1,188.8,68.8,55.5,3049
203,-1,109.1,188.8,68.9,55.5,3012
204,-1,109.1,188.8,68.9,55.5,3217
205,-1,109.1,188.8,68.9,55.5,3062
